Lote/Item;Razão Social;Valor Uni.;Valor Total;Valor Uni. Estimado;Valor Total Estimado;Fabricante/Marca;Situação;Abaixo do Estimado;CNPJ
001;MEIRI MITIKO SUZUKI NAKAMURA EPP;27,50;2.200,00;27,50;2.200,00;;ADJUDICADO;NÃO;03.688.940/0001-03
002;MEIRI MITIKO SUZUKI NAKAMURA EPP;36,00;1.800,00;36,00;1.800,00;;ADJUDICADO;NÃO;03.688.940/0001-03
003;MEIRI MITIKO SUZUKI NAKAMURA EPP;290,00;5.800,00;290,00;5.800,00;;ADJUDICADO;NÃO;03.688.940/0001-03
005;MEIRI MITIKO SUZUKI NAKAMURA EPP;280,00;5.600,00;280,00;5.600,00;;ADJUDICADO;NÃO;03.688.940/0001-03
007;PHS PIMENTEL INFORMATICA LTDA;24,00;480,00;27,90;558,00;;ADJUDICADO;SIM;07.696.853/0001-59
008;PHS PIMENTEL INFORMATICA LTDA;37,00;3.700,00;42,00;4.200,00;;ADJUDICADO;SIM;07.696.853/0001-59
009;PHS PIMENTEL INFORMATICA LTDA;15,00;3.000,00;15,90;3.180,00;;ADJUDICADO;SIM;07.696.853/0001-59
010;PHS PIMENTEL INFORMATICA LTDA;15,00;1.500,00;20,46;2.046,00;;ADJUDICADO;SIM;07.696.853/0001-59
011;PHS PIMENTEL INFORMATICA LTDA;23,00;690,00;24,60;738,00;;ADJUDICADO;SIM;07.696.853/0001-59
012;PHS PIMENTEL INFORMATICA LTDA;26,00;780,00;29,90;897,00;;ADJUDICADO;SIM;07.696.853/0001-59
013;PHS PIMENTEL INFORMATICA LTDA;68,00;2.040,00;82,65;2.479,50;;ADJUDICADO;SIM;07.696.853/0001-59
014;MEIRI MITIKO SUZUKI NAKAMURA EPP;25,00;375,00;35,20;528,00;;ADJUDICADO;SIM;03.688.940/0001-03
